time,sheets,id,friends,surplus,agents,full_agents,stage
41,16,0,0,26,4,1,buy
51,16,3,0,36,4,2,buy
71,16,1,2,56,4,3,buy
74,16,2,2,59,4,4,buy
19,16,3,12,7,7,1,exchange
25,16,2,7,13,7,2,buy
28,16,0,9,16,7,3,buy
30,16,1,5,18,7,4,exchange
37,16,6,3,25,7,5,buy
49,16,4,2,36,7,6,buy
88,16,5,6,76,7,7,buy
20,16,0,9,10,10,1,exchange
22,16,7,5,10,10,2,exchange
23,16,5,14,12,10,5,exchange
31,16,6,6,21,10,6,buy
34,16,1,10,21,10,7,buy
57,16,4,14,43,10,8,buy
65,16,3,10,56,10,9,buy
90,16,8,9,79,10,10,buy
